AA, ELP, LAX, 20200311, 0, 0, 136, 135
AA, ELP, LAX, 20200312, 0, 0, 136, 128
AA, ELP, LAX, 20200313, 0, 0, 136, 123
AA, ELP, LAX, 20200314, 0, 0, 136, 126
AA, ELP, LAX, 20200315, 0, 0, 136, 135
AA, ELP, LAX, 20200316, 0, 0, 136, 126
AA, ELP, LAX, 20200317, 0, 0, 136, 125
AA, ELP, LAX, 20200318, 0, 0, 136, 144
AA, ELP, LAX, 20200319, 0, 0, 136, 138
AA, ELP, LAX, 20200320, 0, 0, 136, 136
AA, ELP, LAX, 20200321, 0, 0, 136, 141
AA, ELP, LAX, 20200322, 0, 0, 136, 151
AA, ELP, LAX, 20200323, 0, 0, 136, 159
AA, ELP, LAX, 20200324, 0, 0, 136, 0
AA, ELP, LAX, 20200325, 0, 0, 136, 0
AA, ELP, LAX, 20200326, 0, 0, 136, 0
AA, ELP, LAX, 20200327, 0, 0, 136, 0
AA, ELP, LAX, 20200328, 0, 0, 136, 120
AA, ELP, LAX, 20200329, 0, 0, 136, 139
AA, ELP, LAX, 20200330, 0, 0, 136, 0
AA, ELP, LAX, 20200331, 0, 0, 136, 0
DL, ELP, ATL, 20200301, 0, 0, 186, 157
DL, ELP, ATL, 20200301, 0, 0, 180, 166
DL, ELP, ATL, 20200302, 0, 0, 186, 176
DL, ELP, ATL, 20200302, 0, 0, 180, 155
DL, ELP, ATL, 20200303, 0, 0, 186, 172
DL, ELP, ATL, 20200309, 0, 0, 180, 176
DL, ELP, ATL, 20200310, 0, 0, 186, 179
DL, ELP, ATL, 20200310, 0, 0, 180, 165
DL, ELP, ATL, 20200311, 0, 0, 186, 165
DL, ELP, ATL, 20200311, 0, 0, 180, 165
DL, ELP, ATL, 20200320, 0, 0, 181, 178
DL, ELP, ATL, 20200320, 0, 0, 185, 0
DL, ELP, ATL, 20200320, 0, 0, 186, 210
DL, ELP, ATL, 20200321, 0, 0, 184, 168
DL, ELP, ATL, 20200321, 0, 0, 183, 167
DL, ELP, ATL, 20200322, 0, 0, 181, 0
DL, ELP, ATL, 20200322, 0, 0, 185, 0
DL, ELP, ATL, 20200322, 0, 0, 186, 164
DL, ELP, ATL, 20200323, 0, 0, 181, 160
DL, ELP, ATL, 20200303, 0, 0, 180, 159
DL, ELP, ATL, 20200304, 0, 0, 186, 181
DL, ELP, ATL, 20200304, 0, 0, 180, 186
DL, ELP, ATL, 20200305, 0, 0, 186, 168
DL, ELP, ATL, 20200305, 0, 0, 180, 185
DL, ELP, ATL, 20200306, 0, 0, 186, 170
DL, ELP, ATL, 20200315, 0, 0, 186, 171
DL, ELP, ATL, 20200316, 0, 0, 181, 172
DL, ELP, ATL, 20200316, 0, 0, 185, 192
DL, ELP, ATL, 20200316, 0, 0, 186, 177
DL, ELP, ATL, 20200317, 0, 0, 181, 173
DL, ELP, ATL, 20200317, 0, 0, 185, 0
DL, ELP, ATL, 20200326, 0, 0, 186, 162
DL, ELP, ATL, 20200327, 0, 0, 181, 0
DL, ELP, ATL, 20200327, 0, 0, 186, 162
DL, ELP, ATL, 20200328, 0, 0, 184, 168
DL, ELP, ATL, 20200328, 0, 0, 183, 170
DL, ELP, ATL, 20200329, 0, 0, 181, 0
DL, ELP, ATL, 20200329, 0, 0, 186, 171
DL, ELP, ATL, 20200306, 0, 0, 180, 173
DL, ELP, ATL, 20200307, 0, 0, 179, 172
DL, ELP, ATL, 20200308, 0, 0, 186, 181
DL, ELP, ATL, 20200308, 0, 0, 180, 163
DL, ELP, ATL, 20200309, 0, 0, 186, 172
DL, ELP, ATL, 20200317, 0, 0, 186, 183
DL, ELP, ATL, 20200318, 0, 0, 181, 178
DL, ELP, ATL, 20200318, 0, 0, 185, 162
DL, ELP, ATL, 20200318, 0, 0, 186, 173
DL, ELP, ATL, 20200319, 0, 0, 181, 163
DL, ELP, ATL, 20200319, 0, 0, 185, 174
DL, ELP, ATL, 20200319, 0, 0, 186, 0
DL, ELP, ATL, 20200330, 0, 0, 181, 0
DL, ELP, ATL, 20200330, 0, 0, 186, 153
DL, ELP, ATL, 20200331, 0, 0, 181, 0
DL, ELP, ATL, 20200331, 0, 0, 186, 158
DL, ELP, ATL, 20200312, 0, 0, 186, 174
DL, ELP, ATL, 20200313, 0, 0, 186, 182
DL, ELP, ATL, 20200314, 0, 0, 183, 168
DL, ELP, ATL, 20200323, 0, 0, 185, 0
DL, ELP, ATL, 20200323, 0, 0, 186, 164
DL, ELP, ATL, 20200324, 0, 0, 181, 154
DL, ELP, ATL, 20200324, 0, 0, 185, 0
DL, ELP, ATL, 20200324, 0, 0, 186, 162
DL, ELP, ATL, 20200325, 0, 0, 181, 169
DL, ELP, ATL, 20200325, 0, 0, 186, 164
DL, ELP, ATL, 20200326, 0, 0, 181, 0
UA, ELP, IAH, 20200329, 0, 0, 119, 0
UA, ELP, IAH, 20200330, 0, 0, 119, 0
UA, ELP, IAH, 20200331, 0, 0, 119, 0
UA, ELP, IAH, 20200307, 0, 0, 118, 114
UA, ELP, IAH, 20200308, 0, 0, 118, 111
UA, ELP, IAH, 20200314, 0, 0, 118, 120
UA, ELP, IAH, 20200315, 0, 0, 118, 114
UA, ELP, IAH, 20200321, 0, 0, 118, 0
UA, ELP, IAH, 20200322, 0, 0, 118, 108
UA, ELP, IAH, 20200328, 0, 0, 118, 0
UA, ELP, ORD, 20200329, 0, 0, 188, 0
UA, ELP, ORD, 20200330, 0, 0, 188, 0
UA, ELP, ORD, 20200331, 0, 0, 188, 167
UA, ELP, IAH, 20200301, 0, 0, 117, 101
UA, ELP, IAH, 20200302, 0, 0, 116, 121
UA, ELP, IAH, 20200303, 0, 0, 116, 115
UA, ELP, IAH, 20200304, 0, 0, 116, 121
UA, ELP, IAH, 20200329, 0, 0, 121, 0
UA, ELP, ORD, 20200304, 0, 0, 189, 182
UA, ELP, ORD, 20200305, 0, 0, 189, 183
UA, ELP, ORD, 20200306, 0, 0, 189, 186
UA, ELP, ORD, 20200308, 0, 0, 189, 194
UA, ELP, ORD, 20200309, 0, 0, 189, 186
UA, ELP, ORD, 20200311, 0, 0, 189, 186
UA, ELP, ORD, 20200312, 0, 0, 189, 191
UA, ELP, ORD, 20200313, 0, 0, 189, 162
UA, ELP, ORD, 20200315, 0, 0, 189, 173
UA, ELP, ORD, 20200316, 0, 0, 189, 193
UA, ELP, ORD, 20200318, 0, 0, 189, 174
UA, ELP, ORD, 20200319, 0, 0, 189, 155
UA, ELP, ORD, 20200320, 0, 0, 189, 173
UA, ELP, ORD, 20200322, 0, 0, 189, 0
UA, ELP, ORD, 20200323, 0, 0, 189, 0
UA, ELP, ORD, 20200325, 0, 0, 189, 188
UA, ELP, ORD, 20200326, 0, 0, 189, 0
UA, ELP, ORD, 20200327, 0, 0, 189, 146
UA, ELP, IAH, 20200315, 0, 0, 120, 104
UA, ELP, IAH, 20200322, 0, 0, 120, 111
UA, ELP, IAH, 20200330, 0, 0, 120, 0
UA, ELP, IAH, 20200331, 0, 0, 120, 0
UA, ELP, IAH, 20200303, 0, 0, 117, 104
UA, ELP, IAH, 20200304, 0, 0, 117, 125
UA, ELP, IAH, 20200308, 0, 0, 120, 111
UA, ELP, IAH, 20200314, 0, 0, 120, 115
UA, ELP, IAH, 20200321, 0, 0, 120, 117
UA, ELP, IAH, 20200328, 0, 0, 120, 0
UA, ELP, IAH, 20200301, 0, 0, 116, 112
UA, ELP, IAH, 20200302, 0, 0, 116, 109
UA, ELP, IAH, 20200303, 0, 0, 116, 125
UA, ELP, IAH, 20200304, 0, 0, 116, 118
UA, ELP, IAH, 20200305, 0, 0, 122, 114
UA, ELP, IAH, 20200306, 0, 0, 122, 114
UA, ELP, IAH, 20200307, 0, 0, 122, 106
UA, ELP, IAH, 20200308, 0, 0, 122, 112
UA, ELP, IAH, 20200309, 0, 0, 122, 117
UA, ELP, IAH, 20200310, 0, 0, 122, 115
UA, ELP, IAH, 20200311, 0, 0, 122, 114
UA, ELP, IAH, 20200312, 0, 0, 122, 113
UA, ELP, IAH, 20200313, 0, 0, 122, 109
